id,dbms,indexed,batch_size,experiment_size,preload_size,run_time,git_hash,rows_per_second,ms_per_transaction,timestamp
1744,mysql,1,1000,100000,1000000,20.43,a81d770,4894.76,204.3,2022-03-28 11:45:22
1745,mongodb,1,300,100000,1000000,2.44,a81d770,40983.61,7.33,2022-03-28 11:45:45
1746,mongodb,0,200,100000,1000000,1.38,a81d770,72463.77,2.76,2022-03-28 11:45:57
1747,postgres,0,2000,100000,1000000,7.22,a81d770,13850.42,144.4,2022-03-28 11:47:20
1748,postgres,0,50,100000,1000000,14.98,a81d770,6675.57,7.49,2022-03-28 11:48:51
1749,mysql,1,2000,100000,1000000,20.02,a81d770,4995.0,400.4,2022-03-28 11:49:30
1750,postgres,0,200,100000,1000000,8.08,a81d770,12376.24,16.16,2022-03-28 11:50:53
1751,mysql,0,100,100000,1000000,23.95,a81d770,4175.37,23.95,2022-03-28 11:51:22
1752,postgres,1,1500,100000,1000000,9.63,a81d770,10384.22,145.91,2022-03-28 11:53:09
1753,mongodb,1,500,100000,1000000,2.43,a81d770,41152.26,12.15,2022-03-28 11:53:32
1754,mongodb,1,2,100000,1000000,32.14,a81d770,3111.39,0.64,2022-03-28 11:54:24
1755,mongodb,0,10,100000,1000000,7.33,a81d770,13642.56,0.73,2022-03-28 11:54:42
1756,mysql,0,1500,100000,1000000,4.22,a81d770,23696.68,63.94,2022-03-28 11:54:52
1757,mongodb,1,1500,100000,1000000,2.2,a81d770,45454.55,33.33,2022-03-28 11:55:14
1758,mysql,0,50,100000,1000000,125.36,a81d770,797.7,62.68,2022-03-28 11:57:24
1759,mongodb,0,100,100000,1000000,1.52,a81d770,65789.47,1.52,2022-03-28 11:57:37
1760,mysql,1,2,100000,1000000,809.26,a81d770,123.57,16.19,2022-03-28 12:11:25
1761,mongodb,0,1000,100000,1000000,1.1,a81d770,90909.09,11.0,2022-03-28 12:11:37
1762,postgres,0,300,100000,1000000,7.49,a81d770,13351.13,22.49,2022-03-28 12:13:00
1763,mongodb,0,1500,100000,1000000,1.01,a81d770,99009.9,15.3,2022-03-28 12:13:11
1764,postgres,1,1000,100000,1000000,9.86,a81d770,10141.99,98.6,2022-03-28 12:14:59
1765,postgres,1,500,100000,1000000,9.94,a81d770,10060.36,49.7,2022-03-28 12:16:46
1766,postgres,1,2000,100000,1000000,9.62,a81d770,10395.01,192.4,2022-03-28 12:18:34
1767,postgres,1,50,100000,1000000,15.93,a81d770,6277.46,7.97,2022-03-28 12:20:28
1768,postgres,0,1000,100000,1000000,7.49,a81d770,13351.13,74.9,2022-03-28 12:21:50
1769,mysql,0,300,100000,1000000,10.26,a81d770,9746.59,30.81,2022-03-28 12:22:05
1770,mongodb,1,10,100000,1000000,8.07,a81d770,12391.57,0.81,2022-03-28 12:22:34
1771,mysql,1,25,100000,1000000,77.98,a81d770,1282.38,19.5,2022-03-28 12:24:12
1772,mysql,1,200,100000,1000000,26.4,a81d770,3787.88,52.8,2022-03-28 12:24:57
1773,postgres,0,2,100000,1000000,215.5,a81d770,464.04,4.31,2022-03-28 12:29:49
1774,postgres,1,300,100000,1000000,9.93,a81d770,10070.49,29.82,2022-03-28 12:31:37
1775,postgres,0,25,100000,1000000,200.2,a81d770,499.5,50.05,2022-03-28 12:36:12
1776,mysql,0,5,100000,1000000,353.42,a81d770,282.95,17.67,2022-03-28 12:42:11
1777,mysql,0,2000,100000,1000000,3.86,a81d770,25906.74,77.2,2022-03-28 12:42:19
1778,mysql,0,1000,100000,1000000,4.89,a81d770,20449.9,48.9,2022-03-28 12:42:29
1779,postgres,0,100,100000,1000000,8.91,a81d770,11223.34,8.91,2022-03-28 12:43:53
1780,mongodb,0,300,100000,1000000,1.24,a81d770,80645.16,3.72,2022-03-28 12:44:05
1781,mongodb,1,5,100000,1000000,14.06,a81d770,7112.38,0.7,2022-03-28 12:44:40
1782,mysql,0,10,100000,1000000,176.81,a81d770,565.58,17.68,2022-03-28 12:47:42
1783,mysql,0,200,100000,1000000,19.38,a81d770,5159.96,38.76,2022-03-28 12:48:06
1784,postgres,0,10,100000,1000000,44.79,a81d770,2232.64,4.48,2022-03-28 12:50:05
1785,postgres,1,10,100000,1000000,45.97,a81d770,2175.33,4.6,2022-03-28 12:52:30
1786,mongodb,0,500,100000,1000000,1.12,a81d770,89285.71,5.6,2022-03-28 12:52:42
1787,mysql,1,300,100000,1000000,21.46,a81d770,4659.83,64.44,2022-03-28 12:53:22
1788,postgres,1,100,100000,1000000,11.4,a81d770,8771.93,11.4,2022-03-28 12:55:10
1789,mongodb,1,2000,100000,1000000,2.39,a81d770,41841.0,47.8,2022-03-28 12:55:33
1790,mongodb,1,25,100000,1000000,4.81,a81d770,20790.02,1.2,2022-03-28 12:55:59
